City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Serramanna,IT,2022-01-21 03:40:04,39.4244,8.9244,46.65,87,75,4.61
254,Yatou,CN,2022-01-21 03:42:32,37.15,122.3833,34.02,38,0,2.1
255,Surt,LY,2022-01-21 03:42:33,31.2089,16.5887,54.28,64,53,11.3
256,Moose Factory,CA,2022-01-21 03:42:33,51.2585,-80.6094,-9.4,77,0,10.36
257,Lebu,CL,2022-01-21 03:42:34,-37.6167,-73.65,53.08,84,0,4.27
258,Margate,GB,2022-01-21 03:41:56,51.3813,1.3862,36.7,82,23,18.37
259,Eureka,US,2022-01-21 03:42:34,40.8021,-124.1637,52.2,84,93,7.0
260,Faya,SA,2022-01-21 03:42:35,18.3851,42.4509,45.12,79,0,5.99
261,Nago,JP,2022-01-21 03:42:35,26.5881,127.9761,66.27,56,73,10.83
262,Sobolevo,RU,2022-01-21 03:42:36,54.4299,31.8996,19.0,92,68,14.18
263,Belaya Gora,RU,2022-01-21 03:42:36,68.5333,146.4167,-46.98,99,78,3.09
264,Uyuni,BO,2022-01-21 03:42:37,-20.4597,-66.825,45.73,81,99,18.81
265,Kholtoson,RU,2022-01-21 03:42:37,50.2981,103.3097,12.4,87,100,2.08
266,Provideniya,RU,2022-01-21 03:42:38,64.3833,-173.3,1.51,66,0,4.47
267,Lermontovka,RU,2022-01-21 03:42:38,47.1453,134.3383,2.57,85,60,4.61
268,Aklavik,CA,2022-01-21 03:42:38,68.2191,-135.0107,-19.37,88,13,8.63
269,Dhekiajuli,IN,2022-01-21 03:42:39,26.7,92.5,60.19,72,100,5.95
270,Galle,LK,2022-01-21 03:42:39,6.0367,80.217,79.52,67,67,1.9
271,Ormara,PK,2022-01-21 03:42:40,25.2088,64.6357,73.42,63,0,23.82
272,Nemuro,JP,2022-01-21 03:42:40,43.3236,145.575,28.83,75,98,25.03
273,Saskylakh,RU,2022-01-21 03:43:41,71.9167,114.0833,-18.45,92,71,8.61
274,Cockburn Town,TC,2022-01-21 03:43:41,21.4612,-71.1419,78.57,77,0,21.81
275,Beian,NO,2022-01-21 03:43:42,63.6559,9.5683,40.01,93,75,19.57
276,Skibbereen,IE,2022-01-21 03:43:42,51.55,-9.2667,42.6,88,84,4.99
277,Lyaskelya,RU,2022-01-21 03:43:43,61.7667,31.0167,28.8,97,100,5.91
278,La Rioja,ES,2022-01-21 03:43:43,42.25,-2.5,33.12,81,99,9.78
279,Ixtapa,MX,2022-01-21 03:43:43,20.7,-105.2,74.43,88,100,5.75
280,Hamilton,US,2022-01-21 03:43:44,39.1834,-84.5333,22.73,60,100,1.01
281,Oussouye,SN,2022-01-21 03:43:44,12.485,-16.5469,75.38,79,82,4.34
282,Norman Wells,CA,2022-01-21 03:43:45,65.282,-126.8329,-16.56,63,75,12.66
283,Lagoa,PT,2022-01-21 03:43:45,39.05,-27.9833,60.8,87,100,19.71
284,Kasempa,ZM,2022-01-21 03:43:46,-13.4584,25.8338,63.34,98,100,2.8
285,Puerto Maldonado,PE,2022-01-21 03:43:46,-12.6,-69.1833,72.72,99,99,0.92
286,Sao Jose Da Coroa Grande,BR,2022-01-21 03:43:47,-8.8978,-35.1478,78.39,81,18,5.55
287,Hovd,MN,2022-01-21 03:43:47,48.0056,91.6419,13.05,92,100,1.43
288,Leshukonskoye,RU,2022-01-21 03:43:48,64.8989,45.7622,27.93,96,100,10.11
289,Burnie,AU,2022-01-21 03:43:48,-41.0667,145.9167,74.95,50,2,6.76
290,Luderitz,NA,2022-01-21 03:43:49,-26.6481,15.1594,69.55,80,18,4.34
291,Dataganj,IN,2022-01-21 03:43:49,28.0333,79.4,58.78,64,6,2.73
